AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A715288,,11/8/15 18:47,1,,Dog,Female,8,Dachshund Wirehair Mix,Sable/White
A713245,Fetty,1/3/16 17:00,1,,Cat,Female,<1,Domestic Shorthair Mix,Black
A695680,Calvin,1/27/15 17:15,1,,Dog,Male,2,Great Pyrenees Mix,White
A687829,Elvis,12/15/14 18:22,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A676835,Oso,7/27/14 14:53,1,,Dog,Male,1,German Shepherd/Australian Cattle Dog,Black/White
A678196,Baby,5/15/14 18:17,1,,Cat,Female,1,Domestic Longhair Mix,Tortie/Orange
A719577,Waylon,2/6/16 18:25,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A664283,Juliet,10/13/13 17:24,1,,Cat,Female,1,Domestic Shorthair Mix,Black/White
A680300,Titan,6/11/14 17:50,1,,Dog,Male,2,Alaskan Malamute Mix,Black/Tan
A677795,,5/2/14 13:01,0,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A675230,Sleepy,3/30/14 18:53,1,,Dog,Female,1,Cairn Terrier Mix,Tan
A701616,Jack Bauer,5/10/15 18:18,1,,Dog,Male,<1,Great Dane/Australian Cattle Dog,Black/White
A681341,Pepperonirol,8/21/14 11:14,1,,Cat,Female,<1,Domestic Shorthair Mix,Black/White
A682054,Tom,6/23/14 17:26,0,Suffering,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A682018,Princessa,7/17/14 8:18,1,,Dog,Female,2,Dachshund Wirehair/Chihuahua Longhair,Tan
A663684,Asher,11/13/14 18:43,1,,Dog,Male,6,Siberian Husky Mix,White/Tan
A698130,,3/10/15 16:47,1,,Dog,Male,<1,Dachshund Mix,Brown
A677786,Potter,5/14/14 17:12,0,Behavior,Dog,Male,3,Boxer Mix,Brown Brindle/White
A700644,,4/21/15 18:23,1,,Dog,Male,2,Pit Bull Mix,Tricolor
A574020,Petey,10/26/13 17:27,1,,Dog,Male,8,Smooth Fox Terrier Mix,Tricolor
A680812,,6/8/14 19:22,0,Suffering,Cat,Female,<1,Domestic Medium Hair Mix,Torbie
A702497,Roxie,5/18/15 18:11,1,,Dog,Female,<1,Dachshund Longhair/Miniature Schnauzer,Silver/White
A693870,,12/16/14 11:01,0,Suffering,Dog,Male,5,Australian Shepherd/Australian Cattle Dog,Brown/Tan
A683489,Ukiah,7/17/14 18:04,1,,Dog,Female,<1,Pit Bull Mix,Blue/White
A671751,Steven,2/8/14 15:40,1,Offsite,Dog,Male,<1,Shetland Sheepdog/Dachshund Longhair,Brown/White
A655092,Smiley,1/1/14 12:50,1,,Dog,Female,2,Flat Coat Retriever Mix,Black
A717876,Kylo,12/27/15 12:45,1,,Dog,Male,1,Pit Bull Mix,Brown/White
A681955,Banshee,7/12/14 14:11,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A707361,Tito,7/18/15 15:40,1,,Cat,Male,<1,Siamese Mix,Lynx Point/White
A711707,Mojo,9/13/15 9:09,0,Rabies Risk,Dog,Male,5,Pit Bull/Labrador Retriever,Black/White
A689486,Grayson,12/6/14 15:14,1,Offsite,Cat,Female,<1,Domestic Shorthair Mix,Blue Tabby
A663610,Jr,10/5/13 18:58,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A669295,Niko,4/4/14 18:37,1,,Dog,Male,3,Labrador Retriever Mix,Brown
A684268,Groot,1/1/15 11:05,1,,Dog,Male,3,Great Dane/Mastiff,Black/White
A672267,Penny,2/17/14 18:59,1,,Dog,Female,1,Pit Bull Mix,Brown Brindle/White
A700680,Gopher,4/28/15 13:00,1,Foster,Dog,Male,<1,Akita/Siberian Husky,Tan/White
A688270,,9/18/14 17:41,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Brown Brindle/White
A703724,Alfie,8/8/15 10:54,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A657037,Gordon,1/14/14 16:11,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black Smoke/White
A683314,Fritz,8/6/14 16:46,1,,Dog,Male,<1,Pit Bull Mix,Black/White
A703577,Orlando,6/3/15 18:46,1,,Cat,Male,1,Domestic Shorthair Mix,Black/White
A701890,Pooh Bear,5/10/15 19:00,1,,Cat,Male,1,Domestic Shorthair Mix,Orange Tabby
A717917,Dino,12/23/15 18:30,1,,Dog,Male,1,Labrador Retriever Mix,Black/White
A709188,,8/11/15 17:12,1,,Dog,Male,<1,Pit Bull Mix,Tan/White
A711605,Baxter,9/15/15 16:50,1,,Cat,Male,<1,Manx Mix,Blue/White
A543377,Tasha,10/23/15 10:38,0,Suffering,Cat,Female,6,Domestic Shorthair,Calico
A719913,,2/4/16 17:25,1,,Dog,Male,1,Australian Shepherd Mix,Brown
A703744,,6/1/15 18:58,1,,Cat,Female,<1,Domestic Shorthair Mix,Black
A678080,Snickers,6/29/14 17:52,1,Offsite,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A698351,Amy,10/21/15 12:02,1,Foster,Cat,Female,4,Domestic Shorthair Mix,Brown Tabby
A682968,Obi-Wan,7/11/14 13:43,1,,Dog,Male,<1,Dachshund Mix,Black/Tan
A649300,M.J.,5/30/15 13:18,1,,Dog,Female,7,Staffordshire Mix,Blue/White
A700196,Cookie,4/21/15 16:32,0,Aggressive,Dog,Female,4,Pit Bull Mix,Blue/White
A700920,Oscar,7/25/15 18:20,1,,Cat,Male,1,Domestic Shorthair Mix,Black
A675526,Cooper,9/13/14 12:34,1,Foster,Cat,Male,3,Domestic Shorthair Mix,Brown Tabby
A705041,Willow,7/18/15 16:31,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A717255,Ohana,12/7/15 15:59,1,,Dog,Male,<1,Border Collie Mix,Brown Brindle/White
A671770,Crusher,2/3/14 16:25,1,,Dog,Male,<1,Border Terrier/Soft Coated Wheaten Terrier,Tan/Gray
A663281,Cindy,12/14/13 17:17,1,Foster,Dog,Female,<1,Siberian Husky Mix,Sable/White
A662881,Tangerine,10/4/13 11:11,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby
A675620,Phyllis,4/18/14 12:49,1,,Dog,Female,4,Golden Retriever/Chow Chow,Red
A684843,,8/6/14 12:35,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue/White
A692059,,11/13/14 18:37,0,Suffering,Cat,Male,<1,Domestic Shorthair Mix,Black
A666133,,12/9/13 18:32,1,,Cat,Female,<1,Domestic Shorthair Mix,Chocolate Point
A622128,Ginger,5/23/14 15:00,1,Foster,Dog,Female,2,Boxer Mix,Brown Brindle/White
A692140,Rocky,11/19/14 18:04,1,,Dog,Male,1,Border Terrier Mix,Fawn
A698123,,3/17/15 17:56,1,,Cat,Male,1,Domestic Shorthair Mix,Black
A680730,Biscuit,8/1/14 10:10,1,Foster,Cat,Female,<1,Domestic Medium Hair Mix,Calico
A683062,,7/12/14 19:31,1,,Cat,Male,<1,Siamese Mix,Lilac Point
A679529,,5/29/14 12:55,0,Aggressive,Dog,Male,2,American Staffordshire Terrier Mix,Black/White
A667354,,11/25/13 18:24,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A679880,Tito,5/31/14 18:44,1,,Dog,Male,<1,Boxer Mix,Tan/Black
A685783,Gabby,8/18/14 19:01,1,,Dog,Female,<1,Chihuahua Shorthair,Black/Tan
A719782,Max,1/29/16 16:50,1,,Dog,Male,<1,Border Collie,Chocolate/White
A703600,Tanner,6/26/15 19:29,1,Foster,Cat,Male,<1,Domestic Medium Hair Mix,Brown Tabby
A693195,Leia,12/7/14 13:08,1,,Dog,Female,5,Miniature Poodle Mix,White
A693623,Honey,12/26/14 11:32,1,,Dog,Female,1,Staffordshire Mix,Brown
A718794,Oreo,1/17/16 15:15,1,,Cat,Male,12,Domestic Shorthair Mix,Black/White
A675935,Kane,4/3/14 14:16,0,Medical,Dog,Male,5,Boxer Mix,Brown Brindle/White
A693434,Rocket,2/2/15 11:49,1,,Dog,Male,<1,Australian Kelpie Mix,Black/White
A716687,Amedeus,1/30/16 18:11,1,Foster,Cat,Female,<1,Snowshoe Mix,Seal Point/White
A676794,,4/19/14 13:15,0,Suffering,Cat,Female,7,Domestic Shorthair Mix,Tortie
A680473,Libby,7/12/14 12:24,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A714295,Chief,10/25/15 19:05,1,,Dog,Male,2,Rat Terrier Mix,White/Brown
A672435,Bosley,2/18/14 17:31,1,Foster,Dog,Male,<1,Labrador Retriever/Staffordshire,Black/White
A690839,Fig,12/6/14 18:28,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A689099,Cherry,11/1/14 15:16,0,Rabies Risk,Dog,Female,2,Boxer Mix,White/Brown
A700423,Tyson,4/28/15 15:39,1,,Dog,Male,2,Boxer,Brown Brindle/White
A665549,Bella,11/2/13 12:47,1,,Cat,Female,2,Domestic Shorthair Mix,Brown Tabby/White
A671231,,1/25/14 17:13,1,,Dog,Male,<1,Dachshund/Harrier,Black/Tan
A702784,Jugete,5/22/15 18:08,1,,Dog,Male,5,Chihuahua Longhair Mix,Black
A682193,Ck,6/29/14 17:48,1,,Dog,Male,<1,German Shepherd,Black/Brown
A697092,Rocky,2/20/15 8:43,0,Aggressive,Dog,Male,3,Labrador Retriever Mix,Chocolate
A720302,Dahlia,2/15/16 14:45,1,,Cat,Female,1,Domestic Shorthair Mix,Brown Tabby
A667718,Nina,12/22/13 16:05,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A684400,Riley,7/23/14 14:05,0,Suffering,Dog,Male,9,Doberman Pinsch,Red/Tan
A666050,Blake,11/2/13 18:50,1,Foster,Dog,Male,1,Australian Cattle Dog Mix,Brown/White
A586665,Pichin,3/2/14 16:03,0,Aggressive,Dog,Male,4,Pit Bull Mix,White/Chocolate
A702886,Sabra,5/31/15 16:31,1,,Dog,Female,4,Labrador Retriever Mix,Black/White
A681642,Honey,9/3/14 13:23,1,,Dog,Female,2,Chihuahua Shorthair Mix,Chocolate/White
A708742,Thor,9/6/15 17:04,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby/White
A667188,Ava,12/21/13 14:03,1,,Dog,Female,7,Labrador Retriever/Chow Chow,Red/Black
A669871,Elsa,1/4/14 15:04,1,,Dog,Female,7,Irish Wolfhound Mix,White
A712554,,9/26/15 11:42,0,In Kennel,Cat,Male,<1,Siamese Mix,Flame Point
A694357,Achilles,1/14/15 16:33,0,Aggressive,Dog,Male,4,Pit Bull Mix,Blue/Black
A679396,Blitz,5/24/14 10:27,0,Aggressive,Dog,Male,3,Pit Bull Mix,Chocolate/White
A664889,,10/14/13 17:44,1,,Dog,Female,1,Dachshund Mix,Black/Tan
A681382,Inky,7/6/14 18:36,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A719423,Tex,1/24/16 12:34,1,,Dog,Male,<1,Dachshund Mix,Black/Tan
A697081,,2/17/15 13:32,0,Suffering,Cat,Male,2,Domestic Shorthair Mix,Brown Tabby/White
A662734,Trey,2/23/14 18:27,1,,Dog,Male,1,Pit Bull Mix,Brown/White
A659502,Stripes,12/12/13 14:32,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A719454,Toby,1/25/16 16:58,1,,Dog,Male,<1,Shih Tzu,Tan/White
A680088,Koda,6/3/14 17:15,1,,Dog,Female,<1,Vizsla Mix,Red/White
A565044,Bailey,7/23/15 14:30,1,,Dog,Female,6,Boxer Mix,Brown Brindle
A699550,Simba,6/11/15 17:18,1,,Dog,Male,4,Rottweiler,Black/Brown
A699496,Kaiser,4/6/15 17:29,1,,Dog,Male,2,Manchester Terrier Mix,Brown Brindle
A690032,Pinky,10/17/14 17:43,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby
A701345,,5/4/15 13:35,0,Aggressive,Dog,Female,3,Labrador Retriever Mix,Black/White
A677004,Fanniemae,3/1/15 16:00,1,,Dog,Female,10,Chihuahua Shorthair Mix,Black/Brown
A686810,Joey,10/4/14 12:33,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A665357,The Admiral,10/20/13 17:51,1,,Dog,Female,<1,Redbone Hound/Labrador Retriever,Red/White
A668752,Toby,12/10/13 16:35,1,,Dog,Male,6,Cairn Terrier Mix,Tan
A693192,,12/16/14 16:19,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A703168,Frankie,6/18/15 15:50,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A692904,Chip,12/2/14 17:52,1,,Dog,Male,<1,Beagle/Chihuahua Shorthair,Black/Tan
A717824,Cyrus,2/6/16 17:56,1,Foster,Dog,Male,<1,Miniature Poodle Mix,Cream
A668276,Gracie,12/14/13 17:05,1,,Cat,Female,<1,Domestic Shorthair Mix,Black
A702565,Bandit,5/17/15 19:03,1,,Cat,Male,6,Domestic Shorthair Mix,Black/White
A698061,,3/9/15 17:10,1,,Cat,Female,<1,Domestic Medium Hair Mix,Brown Tabby
A672648,Lisa,2/16/14 19:13,1,Offsite,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A665676,,10/22/13 12:04,0,In Kennel,Cat,Female,<1,Domestic Shorthair Mix,Black Smoke
A693698,Lola,12/23/14 13:04,1,,Dog,Female,6,English Shepherd Mix,Tricolor
A688820,Freckles,9/24/14 16:36,0,Aggressive,Dog,Female,8,Australian Cattle Dog Mix,Red Tick/White
A665012,Cookie,10/16/13 17:39,1,,Dog,Female,<1,Pit Bull Mix,Fawn
A707806,,7/22/15 17:12,1,,Cat,Male,<1,Siamese Mix,Flame Point
A693722,Panda,1/19/15 16:58,1,,Dog,Female,2,Pit Bull Mix,Black/White
A668137,Gus,12/23/13 18:42,1,Foster,Dog,Male,<1,German Shepherd Mix,Black/Brown Brindle
A676204,,6/3/14 15:58,1,Foster,Dog,Male,<1,Labrador Retriever Mix,Black
A701303,Pickle,5/27/15 18:07,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A664186,Dolly,11/9/13 16:24,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A693497,Chuy,12/13/14 13:26,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A710051,Cloudy,9/11/15 18:10,1,,Dog,Male,<1,Pit Bull Mix,White
A662256,Night,12/22/13 18:14,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Black
A688534,,9/24/14 18:31,1,,Dog,Female,<1,German Shepherd Mix,Brown/Black
A718678,Heinz,1/9/16 18:23,1,,Dog,Male,2,Chihuahua Shorthair Mix,Brown
A673340,Olive,2/28/14 14:41,1,,Dog,Female,3,Chihuahua Shorthair Mix,Black/White
A716138,Little Miss,1/17/16 13:27,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A702453,Aubry,5/26/15 13:28,1,,Dog,Female,2,Australian Cattle Dog Mix,White/Brown
A711662,Carl,12/12/15 17:50,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A661842,Hammy,12/10/13 15:03,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A682572,,7/30/14 17:51,1,,Dog,Male,1,Great Pyrenees Mix,White/Brown
A673369,Titus,3/1/14 17:24,1,,Dog,Male,3,Yorkshire Terrier/Parson Russell Terrier,Blue/Tan
A713228,Poppy,1/15/16 11:50,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A685037,Savvy,8/24/14 14:14,1,,Cat,Female,7,Domestic Shorthair Mix,Torbie
A703638,Henry,6/23/15 7:29,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange/White
A658056,Giuseppe,3/21/15 14:20,1,,Cat,Male,1,Domestic Shorthair Mix,Cream Tabby/White
A517502,Punkin,10/28/15 17:15,1,,Cat,Male,10,Domestic Shorthair Mix,Orange Tabby
A692910,Harley,12/5/14 17:56,1,,Dog,Male,1,Beagle/Boxer,Tricolor
A672393,Charlie,2/12/14 12:27,1,,Dog,Male,5,Miniature Schnauzer/Chihuahua Shorthair,Gray/White
A713715,Cheyenne,11/7/15 14:20,1,,Dog,Female,9,Dachshund Wirehair/Miniature Poodle,Blue/Tan
A665229,Maya,10/18/13 18:55,1,,Cat,Female,<1,Domestic Medium Hair Mix,Tortie
A661782,Penelope,10/10/13 17:11,1,,Dog,Female,7,Chihuahua Shorthair Mix,Tricolor
A704981,,6/15/15 14:34,1,,Dog,Male,3,Australian Cattle Dog Mix,Blue Merle
A677051,,4/22/14 17:07,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A684919,Poptart,9/7/14 15:14,1,,Dog,Female,5,Pit Bull/German Shepherd,Sable/White
A681412,Yoda,6/20/14 18:22,1,,Cat,Male,<1,Domestic Longhair,Brown Tabby
A669145,Nevins,12/19/13 17:16,1,,Dog,Male,<1,Chihuahua Longhair Mix,Tan/White
A668662,,12/11/13 17:09,1,,Dog,Male,1,Dachshund/Chihuahua Shorthair,Red
A707390,Vanessa,8/8/15 12:41,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A708636,Flip,8/15/15 18:43,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue
A695341,Copper,4/26/15 13:51,1,,Dog,Male,<1,Jack Russell Terrier/Chihuahua Shorthair,Brown
A698758,Tippy,4/21/15 19:25,1,,Dog,Female,2,Labrador Retriever/Border Collie,Black
A664033,Billy,10/2/13 18:40,1,,Dog,Male,<1,German Shepherd Mix,Tan/White
A661605,Manchita,10/5/13 14:52,1,,Cat,Female,<1,Domestic Shorthair Mix,Calico
A703629,Gavin,6/28/15 15:52,1,,Dog,Male,<1,Labrador Retriever Mix,Black/White
A688440,Tee,9/22/14 19:10,1,,Cat,Female,7,Domestic Longhair Mix,Calico
A720536,,2/15/16 17:05,1,,Dog,Male,1,Bichon Frise Mix,White
A688517,Emmit,9/24/14 19:01,1,,Dog,Male,<1,Labrador Retriever Mix,Black/White
A689075,,9/29/14 10:44,0,Suffering,Cat,Female,2,Siamese Mix,Tortie Point
A665401,Bam Bam,11/9/13 18:50,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby/White
A693795,Riku,7/9/15 13:49,1,,Dog,Male,<1,Collie Smooth/Labrador Retriever,Red/White
A703836,Nikita,6/21/15 17:43,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie/White
A622978,Sugar,6/3/14 18:54,0,Aggressive,Dog,Female,5,Pit Bull Mix,White/Black
A678121,Pearl,6/7/14 18:00,1,,Cat,Female,<1,Domestic Medium Hair Mix,Black Tabby/White
A663947,Perkins,11/16/13 12:15,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby
A704362,Tessie,6/27/15 17:21,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A689447,Izzy,12/14/14 10:53,0,In Foster,Cat,Female,<1,Domestic Shorthair Mix,Black/White
A685596,Jacob,8/22/14 12:46,1,,Dog,Male,<1,Pit Bull Mix,Brown/White
A696203,Aideen,2/20/15 18:52,1,,Dog,Female,4,Yorkshire Terrier/Cairn Terrier,Brown/Black
A704760,Frances,6/26/15 7:24,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A690352,Abby,10/22/14 17:48,1,,Dog,Female,<1,Labrador Retriever Mix,Black
A717313,Sophie,12/19/15 17:51,1,,Dog,Female,2,Pharaoh Hound/Border Collie,Black/White
A669177,Ally,12/24/13 14:43,1,,Dog,Female,<1,Labrador Retriever/Staffordshire,Black/White
A695569,Thor,5/26/15 16:10,1,,Dog,Male,1,Pit Bull Mix,Blue/White
A707937,Blackie,7/25/15 11:31,1,,Dog,Male,13,Chihuahua Shorthair Mix,Black/Brown
A680292,Tesla,7/16/14 16:23,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A702163,,5/11/15 9:58,0,Rabies Risk,Cat,Unknown,1,Domestic Shorthair Mix,Black
A661648,K,3/25/14 12:07,1,Foster,Cat,Female,10,Domestic Shorthair Mix,Brown Tabby
A704181,Red,6/7/15 13:22,1,,Dog,Male,<1,Chow Chow/Pit Bull,Red/Tan
A670614,Callie,2/23/14 12:14,1,Foster,Cat,Female,10,Snowshoe Mix,Calico Point
A668442,Myrtle,3/9/14 14:43,1,,Dog,Female,1,Vizsla Mix,Red/White
A719204,Lucas,1/20/16 19:24,1,,Dog,Male,<1,Plott Hound Mix,Black
A663202,Cotton,1/30/14 13:51,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A650205,Spike,1/12/14 14:20,1,,Dog,Male,1,Beagle/Queensland Heeler,Tricolor
A704775,,6/9/15 9:48,0,Suffering,Cat,Male,3,Domestic Shorthair Mix,Black/White
A673341,Allonsdanser,2/26/14 17:29,1,,Dog,Female,1,Bruss Griffon Mix,Yellow
A655501,Lucy,12/26/13 8:25,1,Foster,Dog,Female,1,Pit Bull Mix,Black/White
A708273,Shrek,9/3/15 18:32,1,,Cat,Male,5,Domestic Shorthair Mix,Brown Tabby
A715360,,11/6/15 18:47,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A709595,Bella,8/15/15 17:50,1,,Dog,Female,<1,Labrador Retriever Mix,Red/White
A720883,Nitty,2/20/16 18:19,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A707394,,7/17/15 12:22,1,,Dog,Female,<1,Border Collie/Great Pyrenees,Black/White
A699548,Lohman,5/11/15 15:44,1,,Dog,Male,2,Pit Bull/Basset Hound,Brown
A708899,Glo,8/6/15 17:46,1,,Cat,Male,<1,Domestic Shorthair Mix,Cream Tabby
A664300,Happy,10/6/13 17:21,1,,Dog,Male,<1,Anatol Shepherd/Great Pyrenees,White/Tricolor
A714806,Koda,11/3/15 18:43,1,,Dog,Female,<1,Labrador Retriever Mix,Black/White
A662647,Lucy,10/6/13 15:35,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A683665,,8/27/14 8:50,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,White/Brown Tabby
A694361,,12/26/14 18:16,0,Suffering,Cat,Female,1,Domestic Shorthair Mix,Tortie
A682219,Elsie,8/3/14 16:31,1,Offsite,Cat,Female,<1,Domestic Shorthair Mix,White/Blue
A673977,Sophie,8/23/14 13:09,1,Foster,Cat,Female,1,Domestic Shorthair Mix,Black/White
A674775,Treble,3/25/14 14:14,1,,Dog,Male,1,Chihuahua Shorthair Mix,Black/White
A680345,Rainy,7/2/14 13:29,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A718225,Missy Santa,12/31/15 14:20,1,,Dog,Female,1,German Shepherd Mix,Black/Tan
A699171,Ben,4/28/15 18:20,1,,Dog,Male,6,English Coonhound Mix,Black/White
A686607,Sophie,9/8/14 17:53,1,,Dog,Female,3,Australian Shepherd Mix,Tricolor
A705104,Emma,7/7/15 18:52,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie/White
A678360,Fern,6/12/14 13:51,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A689969,Paprika,2/27/15 16:23,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Calico
A705042,Willie,7/18/15 18:36,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A671731,Rufus Jenkin,2/9/14 13:54,1,,Dog,Male,7,Cairn Terrier Mix,Tan
A665571,,10/19/13 16:23,0,Suffering,Cat,Male,<1,Domestic Shorthair Mix,Black
A683616,,7/30/14 18:28,1,,Dog,Female,<1,Chihuahua Shorthair/Border Terrier,Brown/Black
A662404,Cookie,10/13/13 13:36,1,Offsite,Cat,Male,<1,Domestic Shorthair Mix,Black
A684583,,7/29/14 17:04,1,,Dog,Female,<1,Labrador Retriever/Newfoundland,Black
A684555,,7/29/14 17:07,1,,Dog,Female,<1,Miniature Poodle Mix,Black/White
A681886,Heart,7/14/14 12:26,1,,Cat,Male,2,Domestic Shorthair Mix,Orange Tabby
A696534,,5/3/15 14:32,1,,Dog,Male,<1,Australian Cattle Dog Mix,Brown Merle/White
A685785,Baxter,8/17/14 18:06,1,,Dog,Male,2,Cardigan Welsh Corgi Mix,Tricolor
A695791,Dakota,3/3/15 16:58,1,,Dog,Female,<1,Labrador Retriever Mix,Black/White
A705935,Bashful,8/19/15 11:26,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A704994,Rajah,8/1/15 0:00,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A664514,Zane,10/13/13 18:51,1,,Cat,Male,<1,Manx Mix,Brown Tabby/White
A676273,,7/12/14 12:06,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A685231,Nelly,8/11/14 18:55,1,,Dog,Female,1,Labrador Retriever Mix,Black
A703402,Oliver,6/27/15 19:05,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A683016,,7/5/14 23:20,0,Suffering,Cat,Male,<1,Domestic Shorthair Mix,White
A681411,Posh,6/18/14 18:21,1,,Cat,Female,<1,Domestic Longhair,Brown Tabby
A709461,Teri Teri,9/27/15 15:11,1,Offsite,Dog,Female,1,Chihuahua Shorthair Mix,Brown/Tan
A699048,Chispita,4/27/15 18:11,1,,Dog,Female,2,Chihuahua Shorthair Mix,Brown/Tan
A681381,Blinky,7/13/14 10:30,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby
A562220,Scooby,6/26/14 14:09,0,Aggressive,Dog,Male,5,Bulldog/Pit Bull,Tan/Black
A709472,Riku,8/13/15 18:09,1,,Dog,Male,1,Whippet Mix,White/Tan
A696162,Mr Bentley,2/3/15 17:01,1,,Dog,Male,1,Yorkshire Terrier Mix,Black
A716859,Petunia,12/28/15 18:02,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A719644,Stu,1/29/16 17:13,1,,Dog,Male,1,Manchester Terrier Mix,White/Black
A669765,Maeve,1/23/14 18:05,1,Foster,Dog,Female,<1,Labrador Retriever Mix,Tricolor
A706061,Babs,7/18/15 15:34,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A552796,Jd,12/6/15 16:28,1,,Dog,Male,8,Pit Bull Mix,Black/White
A698781,Sandy,3/23/15 13:15,0,Suffering,Dog,Female,3,Labrador Retriever Mix,Tan/White
A701511,,6/7/15 19:04,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby
A670092,,1/2/14 17:53,0,Suffering,Dog,Female,5,Chihuahua Shorthair Mix,Tan/White
A696510,Moxy,2/7/15 12:16,1,,Dog,Female,2,Port Water Dog Mix,Brown
A698810,Nikki,4/11/15 14:50,1,,Cat,Female,1,Russian Blue Mix,Blue
A692078,Cameron,1/5/15 18:11,1,,Cat,Male,13,Domestic Shorthair Mix,Black/White
A711486,L.C.,10/26/15 14:33,0,Suffering,Cat,Male,9,Domestic Longhair Mix,Black/White
A663511,Bruno,10/12/13 12:58,1,,Dog,Male,2,American Bulldog/Pit Bull,Brown Brindle/White
A666413,Chelsie,11/20/13 14:46,1,Foster,Dog,Female,2,Cairn Terrier/Chihuahua Shorthair,Tan/White
A684351,Hercules,8/28/14 15:32,1,,Dog,Male,2,Blue Lacy/Labrador Retriever,Tricolor
A685690,Chencho,8/20/14 19:05,1,,Dog,Male,1,Jack Russell Terrier Mix,White/Tan
A690169,Bruce,10/24/14 17:08,1,,Dog,Male,3,Labrador Retriever Mix,Black/White
A697496,,3/1/15 14:28,0,In Kennel,Cat,Male,1,Domestic Shorthair Mix,Black/White
A687101,Mango,1/13/15 8:23,1,Foster,Cat,Female,9,Domestic Shorthair Mix,Brown Tabby/White
